gender,mod_resource_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,post_created,final_grades
Female,16,3,4,44,22,10,13,4,6,B-
Male,0,0,9,9,20,2,10,5,2,B
Male,30,23,26,44,60,9,9,5,8,A-
Male,3,9,8,38,20,2,6,5,2,A
Male,18,2,22,30,50,5,6,5,4,B+
Male,25,0,10,24,65,2,5,5,2,B
Male,12,4,10,11,36,2,2,2,1,A-
Female,3,0,26,33,35,3,8,0,3,A-
Male,8,9,8,28,33,11,3,3,11,B
Male,9,2,26,43,40,11,2,2,6,A+
Male,0,0,0,0,0,0,0,0,0,E
Female,5,2,14,21,48,2,6,5,2,B+
Male,26,0,10,18,51,1,7,5,1,B-
Male,17,5,14,36,29,6,5,5,6,A
Male,13,17,43,75,75,10,10,6,9,A
Male,4,0,3,5,13,2,4,4,2,C
Male,37,1,3,8,69,2,11,5,2,C+
Male,9,0,6,1,29,1,5,5,1,B+
Male,5,5,14,20,41,3,5,4,3,C+
Male,4,13,2,4,13,3,6,4,2,B-
Male,8,5,15,24,45,5,8,0,3,B-
Male,12,0,3,5,26,2,5,5,2,B+
Male,1,0,0,15,10,13,3,2,9,B-
Male,22,2,41,64,78,6,8,5,6,A
Male,28,2,16,37,43,3,7,5,3,B-
Female,18,2,10,42,36,8,8,4,7,B
Female,6,0,4,8,19,3,4,4,3,B+
Female,12,1,11,13,37,2,5,5,2,B
Male,2,0,0,3,12,14,5,5,14,C-
Female,25,3,15,36,52,5,5,5,5,B-
Male,9,5,14,27,32,5,6,6,5,B
Male,5,0,4,9,24,3,4,4,3,B
Male,7,0,7,12,28,1,6,5,1,B
Male,0,0,0,1,11,0,7,5,0,B-
Male,13,23,12,34,46,6,7,5,6,A-
Male,12,0,3,2,26,1,2,1,1,C
Male,3,3,19,29,36,4,7,6,4,B
Male,5,0,5,4,19,2,13,0,2,B-
Male,8,8,6,15,23,2,1,1,1,C+
Male,11,1,21,30,48,5,6,5,5,C+
Male,11,0,1,5,42,2,11,6,2,B
Female,42,4,6,23,33,4,5,5,4,B+
Male,19,4,4,9,23,2,4,3,2,A+
Male,14,0,3,6,35,1,7,5,1,B
Male,3,4,12,24,33,5,8,5,5,C+
Male,6,0,3,17,38,6,10,6,6,B-
Male,6,4,18,59,60,7,6,6,7,A-
Female,26,1,52,64,102,6,8,1,6,B-
Male,16,9,48,75,80,3,5,4,3,B-
Male,27,11,27,64,73,10,12,5,9,B+
Male,5,0,1,2,8,2,1,0,2,B
Male,19,0,0,2,16,0,5,3,0,B+
Male,10,2,17,31,50,8,6,4,8,B-
Male,28,2,25,102,58,20,9,5,14,C+
Male,31,17,44,62,112,7,5,4,6,A-
Female,9,3,17,57,44,3,19,5,3,B-
Male,20,7,13,19,46,1,6,5,1,B
Male,16,7,33,44,63,7,1,1,7,A
Male,14,3,46,76,97,10,10,4,10,C
Female,17,1,34,97,81,7,7,5,7,A
Male,17,1,11,10,34,1,3,2,1,C+
Male,8,2,13,11,43,0,6,5,0,A-
Female,10,3,22,23,52,5,7,5,3,B+
Female,7,0,5,4,15,1,3,2,1,C+
Male,8,1,10,11,29,4,4,4,4,B
Female,23,12,10,11,43,2,4,4,2,B
Male,1,0,7,15,22,6,5,5,6,B
Male,12,2,0,8,23,2,4,4,2,B-
Male,11,0,8,18,34,0,3,3,0,A
Male,17,12,37,66,62,7,11,6,5,C+
Female,14,3,13,17,41,4,13,6,4,B-
Male,13,0,17,37,63,7,4,4,7,B-
Male,14,1,6,11,22,2,4,3,2,B
Male,11,1,10,14,31,1,7,3,1,B
Male,10,1,7,34,21,7,6,5,6,B
Male,2,0,4,2,18,0,4,3,0,B-
Male,0,0,1,1,9,0,4,3,0,C+
Male,3,0,3,8,11,1,3,3,1,B
Male,6,0,20,22,50,1,7,6,1,B
Male,9,1,10,3,30,0,10,6,0,B-
Male,4,5,16,18,31,3,6,5,3,B+
Male,21,1,2,14,33,2,6,5,2,B
Female,9,0,2,2,19,0,3,2,0,C-
Male,14,3,14,21,30,5,6,4,4,B+
Male,1,1,9,20,25,7,10,4,7,B
Male,11,1,5,12,14,2,5,3,2,B+
Male,18,1,12,12,38,1,6,6,1,B+
Female,13,1,11,36,32,7,6,2,7,B-
Male,3,1,5,5,23,1,7,5,1,B-
Female,9,1,3,11,23,2,6,5,2,C+
Female,17,2,19,95,53,10,5,4,8,B+
Male,12,5,1,8,16,2,5,5,2,B
Male,4,13,2,2,20,2,7,6,1,C+
Male,5,13,6,5,39,2,18,6,1,C
Male,8,3,13,26,50,4,14,4,4,B
Female,7,7,1,9,36,5,12,6,5,C+
Female,14,5,45,51,83,10,12,5,6,B-
Male,49,1,3,8,60,2,4,4,2,B
Male,8,6,13,9,36,3,5,5,3,A-
