@relation e15


@attribute gender {Male,Female}
@attribute no_of_forumn_posts numeric
@attribute participation_in_my_self {0,1}
@attribute modified_post_after_created {0,1}
@attribute no_of_action numeric
@attribute no_of_time_read numeric
@attribute no_of_action_updated numeric
@attribute no_of_action_created numeric
@attribute hit_rate_for_course_page numeric
@attribute final_grade {A,B,C,D,E}




@data
Male,0,0,0,158,148,0,10,88,B
Female,0,0,0,130,124,0,6,88,A
Male,0,0,0,193,178,1,14,88,A
Female,0,0,0,147,142,0,5,89,B
Female,4,1,0,170,157,1,12,89,B
Male,0,0,0,166,158,0,8,89,B
Female,0,0,0,136,126,0,10,89,A
Female,0,0,0,164,152,0,12,89,A
Male,0,0,0,149,145,0,4,90,B
Male,0,0,0,135,124,0,11,90,B
Male,0,0,0,148,135,0,13,90,A
Male,0,0,0,147,136,1,10,91,B
Male,0,0,0,200,181,1,18,91,A
Female,0,0,0,181,165,0,15,91,A
Male,0,0,0,198,185,0,13,91,A
Male,0,0,0,131,120,0,11,91,B
Male,0,0,0,148,142,0,6,91,A
Male,1,1,0,163,150,0,13,91,A
Female,0,0,0,163,148,2,13,92,A
Male,0,0,0,137,129,0,8,93,B
Male,0,0,0,177,164,0,13,93,B
Male,7,1,1,174,159,0,15,93,B
Male,0,0,0,256,231,2,23,93,A
Male,0,0,0,172,166,1,5,93,B
Female,0,0,0,170,153,0,17,93,A
Male,0,0,0,210,192,0,16,93,B
Male,0,0,0,170,164,0,6,93,B
Male,0,0,0,169,148,3,18,93,A
Male,4,1,0,166,154,0,12,94,B
Male,0,0,0,206,193,3,10,94,A
Male,0,0,0,213,200,1,12,94,A
Male,0,0,0,147,134,0,13,94,A
Male,5,1,1,178,159,2,17,95,B
Male,0,0,0,203,192,1,10,95,A
Male,0,0,0,203,192,1,10,95,A
Male,0,0,0,188,174,1,13,95,A
Male,4,1,1,232,212,0,17,96,B
Male,0,0,0,155,143,1,11,96,B
Male,0,0,0,169,156,0,13,96,B
Male,0,0,0,226,197,11,18,96,A
Male,0,0,0,184,171,2,11,96,B
Male,5,1,1,213,194,1,18,96,A
Male,0,0,0,145,132,0,13,97,B
Female,0,0,0,195,183,0,12,98,B
Female,0,0,0,155,145,0,10,98,A
Female,0,0,0,158,151,0,7,98,B
Male,0,0,0,148,141,0,7,98,A
Male,0,0,0,232,213,4,13,98,A
Male,0,0,0,159,145,0,14,98,B
Female,0,0,0,177,170,0,7,98,A
Male,0,0,0,286,279,0,7,99,A
Male,4,1,0,190,180,0,9,99,A
Male,7,1,0,238,224,0,14,99,A
Male,0,0,0,191,169,5,17,99,B
Male,0,0,0,229,213,1,15,100,A
Male,3,1,1,210,195,4,11,100,B
Female,0,0,0,181,172,1,8,101,A
Male,2,1,0,179,164,1,14,102,B
Male,0,0,0,184,170,0,14,102,B
Male,5,1,0,218,197,5,16,103,A
Male,0,0,0,195,188,1,6,103,B
Female,0,0,0,167,155,1,11,103,B
Female,2,1,0,178,167,0,11,104,A
Male,0,0,0,194,185,1,8,104,A
Male,0,0,0,192,176,0,16,104,B
Female,9,1,1,184,173,0,11,105,B
Male,0,0,0,222,210,1,11,105,A
Male,0,0,0,164,154,0,10,105,A
Male,0,0,0,254,233,2,19,106,A
Female,6,1,0,163,150,0,13,106,A
Male,0,0,0,175,164,0,11,107,B
Female,0,0,0,206,193,1,12,107,A
Male,0,0,0,213,200,0,13,108,B
Female,0,0,0,187,170,1,16,109,A
Male,0,0,0,187,165,3,19,109,B
Female,0,0,0,155,140,1,14,109,B
Male,0,0,0,156,146,0,10,110,A
Male,4,1,0,188,177,0,11,111,A
Female,3,1,0,242,229,1,12,111,A
Male,0,0,0,228,211,4,13,111,A
Female,0,0,0,159,158,0,1,111,B
Male,0,0,0,189,176,0,13,113,B
Male,0,0,0,182,169,1,12,113,A
Male,0,0,0,224,214,0,10,113,A
Female,0,0,0,216,206,0,10,114,A
Male,0,0,0,324,298,1,25,115,A
Male,0,0,0,217,207,1,9,116,B
Female,0,0,0,216,203,0,13,116,A
Male,0,0,0,228,211,1,16,116,A
Male,0,0,0,203,196,0,7,116,B
Female,0,0,0,239,230,0,9,117,A
Male,0,0,0,228,216,0,12,117,A
Male,0,0,0,226,210,0,16,118,A
Male,0,0,0,223,211,0,12,118,A
Male,0,0,0,258,240,1,17,119,A
Male,0,0,0,307,292,1,14,119,A
Female,0,0,0,270,256,1,13,119,A
Female,0,0,0,214,201,0,13,120,A
Male,0,0,0,277,267,3,7,121,A
Male,6,1,0,286,277,1,8,121,A
Male,0,0,0,222,210,1,11,122,A
Male,0,0,0,250,240,0,10,122,A
Female,1,1,1,228,208,2,18,122,A
Male,0,0,0,299,280,3,16,122,A
Male,1,1,0,225,210,3,12,124,A
Male,0,0,0,471,421,12,38,124,A
Male,0,0,0,221,206,0,15,124,B
Female,0,0,0,234,223,0,11,125,A
Male,5,1,1,291,269,5,17,125,A
Female,0,0,0,180,168,0,12,126,A
Female,0,0,0,206,195,0,11,126,A
Female,0,0,0,255,235,3,17,126,A
Male,0,0,0,298,283,0,15,126,A
Male,0,0,0,256,244,3,9,128,B
Male,4,1,0,252,240,0,12,129,B
Male,0,0,0,224,210,0,14,129,A
Male,5,1,0,237,226,1,10,129,A
Male,0,0,0,254,242,1,11,129,A
Male,0,0,0,231,209,0,20,129,A
Male,0,0,0,229,222,0,7,130,A
Male,0,0,0,315,297,1,17,130,B
Male,0,0,0,265,251,1,13,131,A
Female,1,1,0,205,196,0,9,131,A
Male,0,0,0,239,225,0,13,131,B
Male,0,0,0,281,258,6,17,131,B
Male,0,0,0,252,234,1,16,132,A
Male,0,0,0,232,216,2,14,132,A
Male,0,0,0,227,216,0,11,134,B
Female,0,0,0,256,241,0,15,136,A
Male,0,0,0,344,317,3,24,137,A
Male,0,0,0,307,281,7,19,137,B
Male,0,0,0,331,311,1,19,138,A
Male,0,0,0,266,253,0,13,139,A
Female,0,0,0,287,267,2,18,139,A
Male,0,0,0,289,267,1,21,143,A
Female,0,0,0,267,254,1,12,143,A
Male,0,0,0,270,251,3,16,143,A
Male,0,0,0,311,303,0,8,144,B
Female,0,0,0,256,251,0,5,144,A
Male,0,0,0,318,301,1,16,145,A
Female,0,0,0,321,307,5,9,145,A
Female,0,0,0,279,263,0,16,146,A
Male,0,0,0,239,224,0,15,148,C
Male,0,0,0,280,263,1,16,148,A
Male,0,0,0,382,363,1,18,148,A
Male,8,1,1,283,271,1,11,149,A
Male,0,0,0,321,309,1,11,149,A
Male,0,0,0,308,292,2,14,156,B
Male,0,0,0,269,256,0,13,157,A
Female,0,0,0,294,276,2,16,159,A
Male,5,1,1,263,256,0,7,161,A
Male,0,0,0,294,273,5,16,165,A
Male,0,0,0,303,289,0,14,166,B
Female,8,1,1,236,229,0,7,170,B
Female,0,0,0,302,286,0,16,175,A
Male,0,0,0,276,261,1,14,175,A
Female,2,1,1,334,316,2,16,180,B
Male,0,0,0,285,276,0,9,181,A
Female,0,0,0,311,301,0,10,184,A
Male,0,0,0,386,363,3,19,184,A
Female,0,0,0,348,334,0,13,187,B
Male,0,0,0,403,386,0,17,191,B
Male,0,0,0,404,388,1,15,198,A
Female,0,0,0,478,453,2,22,200,A
Male,0,0,0,419,395,2,22,204,A
Male,0,0,0,409,394,0,15,204,A
Female,3,1,0,432,417,0,15,210,A
Male,0,0,0,473,452,1,20,236,A
Male,0,0,0,524,494,1,29,248,B
Female,0,0,0,459,447,0,12,249,A
Male,0,0,0,486,469,1,16,253,A
Male,0,0,0,795,772,1,22,266,A
Female,0,0,0,498,482,0,16,285,A
Male,0,0,0,581,564,0,17,315,B
Male,13,1,1,1036,984,11,40,376,A
Male,0,0,0,1825,1804,2,19,914,A
