std_code,mod_forum_course_module_viewed,user_profile_viewed,mod_forum_course_module_viewed,discussion_viewed,event_course_viewed,assessable_uploaded,feedback_course_module_viewed,feedback_response_submitted,feedback_response_submitted,post_created,gender,final_grades
5937,8,52,78,60,4,7,7,4,Male,A+
5938,0,22,21,55,2,12,8,2,Male,A
5939,8,60,87,111,7,16,8,6,Female,A-
5930,19,10,15,61,4,7,7,4,Male,B
5931,7,98,99,84,6,7,6,6,Female,A
5932,4,10,34,46,7,10,8,7,Male,B+
5933,8,27,52,69,11,8,6,8,Male,B
5934,14,32,42,77,6,16,1,6,Male,A-
5935,5,45,60,83,2,9,8,1,Male,B
5936,1,20,26,34,4,5,5,4,Male,B
5950,10,65,106,57,17,10,6,15,Male,B+
5948,0,13,5,32,1,6,6,1,Male,B
5949,13,56,75,91,6,8,7,6,Female,A
5940,4,10,6,27,0,6,6,0,Male,B+
5941,1,1,3,20,0,12,5,0,Male,B+
5942,4,2,7,28,1,4,4,1,Male,C
5943,13,12,22,40,6,17,1,6,Male,A
5946,5,61,69,87,9,15,1,8,Male,B+
5960,18,13,19,75,0,16,7,0,Male,C
5961,10,70,81,99,12,16,8,10,Male,B+
5959,2,16,30,29,10,5,4,8,Male,B
5951,0,12,23,41,6,7,7,6,Female,B
5952,1,18,26,43,6,9,7,6,Female,B
5953,9,53,75,96,9,15,7,9,Female,B+
5954,0,10,11,43,1,5,4,1,Female,D+
5955,5,25,62,37,8,13,7,7,Female,A
5956,1,12,13,65,1,15,8,1,Male,B-
5957,6,21,68,49,8,12,8,6,Male,A-
5958,72,88,142,84,7,9,5,6,Male,A+
5970,4,20,49,47,8,4,3,8,Male,C+
5971,0,5,32,45,4,8,7,4,Male,B
5972,2,28,20,45,5,3,2,4,Male,B+
5962,0,1,26,29,8,8,6,8,Male,B-
5964,0,0,3,31,0,10,8,0,Male,C
5965,10,21,71,59,9,9,8,8,Female,B
5966,10,11,50,62,17,10,7,17,Male,B
5967,5,16,74,45,13,9,8,12,Male,A
5968,6,17,36,62,6,15,7,6,Female,A-
5969,2,3,21,36,3,7,6,3,Male,C+
5980,0,0,4,7,3,2,1,3,Male,C+
5981,1,28,27,67,2,15,8,2,Female,B-
5982,20,28,79,70,14,30,7,10,Female,A
5983,5,15,41,77,11,7,6,9,Male,A+
5973,0,4,12,29,2,8,8,2,Female,B-
5975,0,19,23,43,4,9,8,3,Male,B+
5976,14,28,62,35,5,2,2,5,Male,C-
5977,3,7,11,39,1,8,7,1,Male,B
5978,6,34,26,71,4,4,4,4,Male,B-
5979,3,12,30,63,4,20,8,4,Male,C+
5990,3,14,37,36,11,5,5,9,Male,B-
5991,15,21,50,53,4,9,5,4,Male,B
5992,7,42,73,90,10,12,10,10,Female,B-
5993,10,37,59,76,6,11,5,5,Male,A
5994,1,0,2,18,0,8,7,0,Male,C+
5984,3,16,46,32,7,10,5,7,Male,C-
5985,2,4,16,30,3,6,4,2,Male,B+
5987,20,7,14,30,2,6,6,2,Male,B
5988,0,5,8,27,2,11,6,2,Male,B-
5989,2,11,25,40,5,16,9,5,Male,C+
5995,1,12,26,39,6,5,4,6,Female,B
5996,2,28,40,45,3,10,6,3,Male,B
5997,3,11,46,39,5,8,4,5,Female,C
5998,14,21,40,45,8,12,2,8,Male,C+
5999,5,19,38,56,9,8,6,8,Female,B
6300,8,27,34,59,4,4,4,4,Male,B
6302,1,1,2,20,1,6,5,1,Male,C+
6301,0,0,4,48,2,7,7,2,Male,C
6311,9,26,76,48,6,5,5,6,Female,B
6310,0,6,6,32,2,9,8,2,Male,B-
6313,1,1,3,24,1,8,6,1,Male,B-
6312,6,7,18,31,8,4,4,7,Male,C+
6304,5,30,30,51,1,4,1,1,Male,C-
6303,4,2,0,26,0,5,3,0,Male,C
6306,2,24,66,84,6,25,10,6,Male,C
6305,0,12,33,37,11,3,3,11,Male,C-
6308,4,43,50,84,13,9,7,13,Male,B
6307,2,30,57,78,6,8,7,6,Male,C+
6309,5,58,51,106,7,8,6,7,Female,B-
6320,0,0,5,19,1,11,6,1,Male,B-
6201,3,12,22,45,6,11,7,6,Male,A+
6322,38,83,158,128,9,15,9,9,Male,C+
6321,4,9,6,36,4,8,7,3,Female,B+
6200,8,8,16,34,0,5,5,0,Male,B
6324,3,14,15,28,10,4,3,9,Female,B+
6203,6,9,32,42,8,7,4,8,Female,B
6202,2,10,26,28,6,15,6,5,Male,B-
6315,7,44,82,90,17,9,7,14,Female,B
6314,0,10,33,41,7,6,6,7,Female,C+
6317,16,40,62,136,6,19,13,6,Female,A
6316,3,7,4,18,1,6,4,1,Male,C-
6319,2,11,19,47,5,6,6,4,Male,B-
6318,7,6,21,66,6,14,8,6,Male,B
6210,4,12,31,59,11,11,7,8,Female,B
6212,3,30,71,51,11,8,7,9,Female,B+
6333,2,17,34,76,9,6,6,8,Female,B+
6211,1,5,21,47,4,4,4,4,Female,C+
6332,3,10,17,44,1,5,5,1,Male,C
6214,0,3,21,39,7,14,8,7,Female,B
6335,12,72,125,114,33,12,6,18,Male,A+
6334,7,2,15,25,3,7,6,3,Male,B-
6213,4,13,33,66,9,13,8,9,Female,B+
6326,1,11,12,31,4,9,5,4,Female,B-
6205,9,22,55,53,9,9,8,7,Male,B+
6325,3,5,10,23,4,8,3,3,Male,C+
6204,2,0,8,39,4,17,10,4,Female,B
6328,0,0,15,25,6,5,4,6,Female,C+
6207,24,30,95,66,19,11,8,16,Male,C
6206,0,2,19,30,6,4,4,6,Female,C+
6327,28,52,94,85,15,7,4,13,Male,A+
6209,0,1,2,27,1,15,7,1,Male,B-
6329,0,3,1,19,0,4,3,0,Male,B+
6208,6,9,17,72,2,11,8,2,Male,C+
6340,1,9,29,65,2,14,8,2,Male,B-
6221,0,1,5,28,1,8,8,1,Male,A-
6100,6,9,13,28,4,3,3,4,Female,B
6342,4,24,41,54,8,18,3,7,Female,B+
6341,4,6,15,26,2,5,4,2,Male,B
6220,0,9,9,26,5,10,8,5,Female,B
6223,2,13,10,30,1,9,5,1,Male,C+
6102,32,201,132,334,7,17,8,1,Male,C-
6343,1,2,9,24,4,8,7,4,Female,B
6222,0,0,27,34,18,10,8,8,Female,A-
6101,2,13,25,39,5,1,1,5,Female,B+
6104,0,3,12,24,4,7,3,4,Male,B-
6225,3,7,65,34,13,18,6,9,Female,B-
6224,28,38,61,79,11,12,8,8,Male,A-
6216,16,21,71,41,9,9,8,9,Male,A
6337,6,51,57,92,10,9,7,8,Male,B+
6336,4,17,22,52,2,2,2,1,Male,A-
6215,1,16,62,79,11,8,7,9,Male,B
6218,0,33,41,47,4,8,0,4,Female,A-
6339,10,9,37,37,15,3,3,14,Male,B
6217,8,36,66,57,20,5,4,11,Male,A+
6219,2,18,23,58,2,8,7,2,Female,B+
6230,1,30,41,66,1,10,8,1,Male,B-
6232,25,78,161,154,25,33,12,22,Male,A
6111,7,48,100,72,16,9,9,15,Male,A
6110,0,3,5,23,2,31,6,2,Male,C
6231,8,8,22,99,5,13,7,4,Male,C+
6234,5,14,22,45,4,5,4,4,Male,C+
6113,2,19,19,66,7,8,8,7,Male,B+
6112,13,2,4,23,3,10,7,2,Male,B-
6233,5,18,29,57,6,11,2,4,Male,B-
6236,0,0,19,16,13,5,4,9,Male,B-
6115,1,9,11,37,4,7,7,4,Male,B+
6114,7,75,98,134,13,12,9,13,Male,A
6235,7,43,85,69,12,7,5,12,Male,B-
6227,0,5,9,22,4,4,4,4,Female,B+
6106,2,13,48,47,8,10,6,7,Female,B
6226,0,2,6,17,14,8,8,14,Male,C-
6105,1,18,20,66,2,10,10,2,Female,B
6229,5,16,31,39,6,8,8,6,Male,B
6108,4,20,40,76,5,8,8,5,Female,B-
6107,0,6,10,34,3,9,7,3,Male,B
6228,0,12,19,45,2,11,8,2,Male,B
6241,0,13,16,43,4,2,1,3,Male,C
6120,23,20,42,76,6,13,7,6,Male,A-
6240,3,31,51,59,10,8,7,10,Male,B
6001,1,6,4,33,2,15,0,2,Male,B-
